Name,SpecObjID,plate,mjd,fiberID,ra,dec,z,Mag_J,Mag_H,Mag_Ks,Mag_NUV,Mag_FUV,L_x,Gamma,cps,F_int_20cm,F_peak_20cm,L[OIII],LnHa,LbHa,W(bHa),SN,e_bv_snf,Mag_u,Mag_g,Mag_r,Mag_i,Mag_z,Mag_W1,Mag_W2,Mag_W3,Mag_W4,Class,F_5100,z,err_z,v_disp,err_v_disp,log_Age,[M/H],chi2_red,F_5100,flux_F,flux_G,flux_P,flux_S,flux_Z,sigma_Fe,shift_Fe,flux_[OII]_3727,flux_n_H_beta_1,flux_n_H_beta_2,flux_b_H_beta_1,flux_[OIII]_4959_1,flux_[OIII]_4959_2,flux_[OIII]_5007_1,flux_[OIII]_5007_2,flux_[OIII]_4959_wing,flux_[OIII]_5007_wing,flux_n_H_alpha_1,flux_n_H_alpha_2,flux_b_H_alpha_1,flux_[NII]_6548_1,flux_[NII]_6548_2,flux_[NII]_6584_1,flux_[NII]_6584_2,flux_[SII]_6717_1,flux_[SII]_6717_2,flux_[SII]_6731_1,flux_[SII]_6731_2,sigma_[OII]_3727,sigma_n_H_beta_1,sigma_n_H_beta_2,sigma_b_H_beta_1,sigma_[OIII]_4959_1,sigma_[OIII]_4959_2,sigma_[OIII]_5007_1,sigma_[OIII]_5007_2,sigma_[OIII]_4959_wing,sigma_[OIII]_5007_wing,sigma_n_H_alpha_1,sigma_n_H_alpha_2,sigma_b_H_alpha_1,sigma_[NII]_6548_1,sigma_[NII]_6548_2,sigma_[NII]_6584_1,sigma_[NII]_6584_2,sigma_[SII]_6717_1,sigma_[SII]_6717_2,sigma_[SII]_6731_1,sigma_[SII]_6731_2,shift_[OII]_3727,shift_n_H_beta_1,shift_n_H_beta_2,shift_b_H_beta_1,shift_[OIII]_4959_1,shift_[OIII]_4959_2,shift_[OIII]_5007_1,shift_[OIII]_5007_2,shift_[OIII]_4959_wing,shift_[OIII]_5007_wing,shift_n_H_alpha_1,shift_n_H_alpha_2,shift_b_H_alpha_1,shift_[NII]_6548_1,shift_[NII]_6548_2,shift_[NII]_6584_1,shift_[NII]_6584_2,shift_[SII]_6717_1,shift_[SII]_6717_2,shift_[SII]_6731_1,shift_[SII]_6731_2,amp_n_H_alpha_1,amp_n_H_alpha_2,amp_b_H_alpha_1,m_class,m_class_alpha,j,GroupID,GroupSize
34,2.05E+18,1817,53851,345,227.13347,7.5856251,0.07463795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.09,0.0273,18.06015,16.7063,16.02212,15.64025,15.37008,-1,-1,-1,-1,GALAXY,46.18047515,0.074635509,1.01E-05,167.3867227,7.491420624,0.844104901,-0.080473032,3.015793098,-1,-1,-1,-1,-1,-1,-1,-1,248.7415635,95.65962554,70.19525067,0,6.489710737,7.741363767,19.27327368,22.96627539,0,0,254.8556618,317.4869728,0,42.32356929,42.10406859,124.5138723,124.0367213,44.91048057,45.50034971,36.10049038,34.15045161,2.465959015,1.462428114,1.153352096,3,1.462428114,1.153352096,1.462428114,1.153352096,1.5,1.5,2.01348211,1.876633989,3,2.01348211,1.876633989,2.01348211,1.876633989,2.01348211,1.876633989,2.01348211,1.876633989,-1.030280984,-4.116077497,-0.432239051,0,-4.116077497,-0.432239051,-4.116077497,-0.432239051,0,0,0.938442384,-4.157758906,0,0.938442384,-4.157758906,0.938442384,-4.157758906,0.938442384,-4.157758906,0.938442384,-4.157758906,76.24878997,97.24830407,0,2,2,34,18,2
35,6.18E+18,5487,55982,447,227.13452,7.5850305,0.07468865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.03,0.0273,22.36254,19.18867,18.64414,17.89519,18.59936,-1,-1,-1,-1,GALAXY,5.498206073,0.074688022,8.80E-06,88.35970286,13.15247974,0.785215883,-0.494127442,23.80464112,-1,-1,-1,-1,-1,-1,-1,-1,50.70931975,19.40731658,0,0,2.954490934,0,8.775194399,0,0,0,84.03965435,0,0,14.94798786,0,43.9963201,0,19.6893487,0,15.00627236,0,2.593381243,1.681559833,1,3,1.681559833,1,1.681559833,1,1.5,1.5,2.217245207,1,3,2.217245207,1,2.217245207,1,2.217245207,1,2.217245207,1,-1.498228822,-2.133077593,-5,0,-2.133077593,-5,-2.133077593,-5,0,0,-1.332777304,-5,0,-1.332777304,-5,-1.332777304,-5,-1.332777304,-5,-1.332777304,-5,22.47017637,0,0,1,1,35,18,2
